"R0000100","R0536300","R0536401","R1210700","U4329700","U4330000","U4336100","U4336200","U4336300","U4337600","U4337700","U4337800","U4337900","U4338800","U4338900","U4339000","U4339100"
229,2,2,96,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
230,1,5,55,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
231,1,11,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
232,1,6,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
233,1,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
234,2,8,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
235,2,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
236,2,12,92,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
237,1,3,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
238,2,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
239,1,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
240,2,4,95,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
241,2,2,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
242,1,6,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
243,2,2,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
244,1,3,73,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
245,2,7,63,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
246,1,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
247,1,3,90,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
248,2,9,91,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
249,1,8,73,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
250,1,9,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
251,1,4,90,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
252,2,7,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
253,2,9,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
254,1,8,77,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
255,2,7,91,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
256,1,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
257,1,5,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
258,1,11,68,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
259,1,12,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
260,1,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
261,1,4,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
262,1,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
263,1,7,84,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
264,1,7,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
265,1,9,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
266,2,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
267,2,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
268,1,12,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
269,2,6,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
270,2,1,75,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
271,2,8,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
272,2,9,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
273,2,4,55,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
274,2,8,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
275,1,12,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
276,2,1,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
277,1,2,13,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
278,1,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
279,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
280,1,5,84,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
281,1,12,87,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
282,1,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
283,1,5,91,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
284,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
285,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
