"E8033100","R0000100","R0536300","R0536401","R0536402","R1210700","R1235800","R1482600","R9829600","U4282400"
7,554,1,8,1981,8,1,4,29928,-4
0,555,1,3,1984,97,1,4,82274,-4
0,556,2,7,1982,82,1,4,82153,-4
1,557,2,11,1981,-4,1,2,71808,-4
0,558,1,2,1982,96,1,4,-4,-4
0,559,2,3,1984,94,1,4,70469,-5
0,560,2,4,1981,-4,1,4,19240,-4
0,561,1,3,1984,13,1,4,65918,-4
0,562,2,1,1983,25,1,2,19305,-4
0,563,1,3,1982,21,1,4,3029,-4
0,564,1,8,1983,87,1,4,81035,-4
1,565,1,4,1982,68,1,2,51465,-4
0,566,2,7,1982,58,1,2,48296,-4
0,567,1,3,1980,-4,1,4,32380,-4
1,568,1,10,1981,-4,1,4,46128,-4
0,569,1,4,1981,-4,1,4,21926,-4
0,570,2,7,1982,77,1,4,23397,-4
0,571,1,10,1980,-4,1,4,3328,-4
0,572,1,10,1983,75,1,4,74836,-5
0,573,2,9,1981,-4,1,2,9055,-4
2,574,2,1,1983,0,1,2,236,-4
1,575,1,12,1981,3,1,4,-4,-2
1,576,1,11,1981,53,1,4,44856,-4
0,577,1,4,1984,75,1,4,41102,-4
1,578,1,12,1982,21,1,4,53141,-4
2,579,2,6,1980,-4,1,4,55555,-4
0,580,1,5,1983,53,1,4,36129,-4
0,581,1,4,1982,90,1,4,28983,-4
0,582,2,11,1983,4,1,4,8072,-5
1,583,2,11,1981,-4,1,4,75190,-4
0,584,2,12,1981,79,1,4,81343,-4
0,585,2,3,1983,90,1,4,91965,-4
1,586,1,1,1980,-4,1,2,38632,-4
0,587,2,1,1983,32,1,2,58110,-4
